name,mos
bag_geo_26_col_26.ply,82.47234473
bag_geo_26_col_32.ply,81.50116176
bag_geo_26_col_38.ply,85.4385358
bag_geo_26_col_44.ply,71.04296463
bag_geo_26_col_50.ply,41.91038026
bag_geo_32_col_26.ply,83.44156863
bag_geo_32_col_32.ply,86.69467258
bag_geo_32_col_38.ply,80.02933444
bag_geo_32_col_44.ply,67.47866308
bag_geo_32_col_50.ply,47.43341328
bag_geo_38_col_26.ply,83.61136676
bag_geo_38_col_32.ply,80.3914416
bag_geo_38_col_38.ply,76.25327024
bag_geo_38_col_44.ply,69.13474583
bag_geo_38_col_50.ply,45.90383473
bag_geo_44_col_26.ply,75.85519217
bag_geo_44_col_32.ply,65.08506674
bag_geo_44_col_38.ply,63.72529702
bag_geo_44_col_44.ply,56.1250448
bag_geo_44_col_50.ply,37.89736269
bag_geo_50_col_26.ply,41.59709778
bag_geo_50_col_32.ply,37.77756307
bag_geo_50_col_38.ply,31.30357686
bag_geo_50_col_44.ply,30.08100543
bag_geo_50_col_50.ply,16.8357365
banana_geo_26_col_26.ply,81.64996065
banana_geo_26_col_32.ply,79.68820665
banana_geo_26_col_38.ply,64.95547928
banana_geo_26_col_44.ply,64.52449769
banana_geo_26_col_50.ply,56.08639738
banana_geo_32_col_26.ply,76.91325807
banana_geo_32_col_32.ply,75.70382067
banana_geo_32_col_38.ply,68.53237677
banana_geo_32_col_44.ply,67.97805374
banana_geo_32_col_50.ply,52.68423618
banana_geo_38_col_26.ply,63.20758633
banana_geo_38_col_32.ply,57.96579584
banana_geo_38_col_38.ply,54.871165
banana_geo_38_col_44.ply,50.02171706
banana_geo_38_col_50.ply,41.77923736
banana_geo_44_col_26.ply,42.01338088
banana_geo_44_col_32.ply,38.22772297
banana_geo_44_col_38.ply,40.19256122
banana_geo_44_col_44.ply,36.01163561
banana_geo_44_col_50.ply,35.10854256
banana_geo_50_col_26.ply,24.88079744
banana_geo_50_col_32.ply,24.35969205
banana_geo_50_col_38.ply,23.60151328
banana_geo_50_col_44.ply,22.55017941
banana_geo_50_col_50.ply,21.04548723
biscuits_geo_26_col_26.ply,87.89236849
biscuits_geo_26_col_32.ply,81.64304521
biscuits_geo_26_col_38.ply,75.31547102
biscuits_geo_26_col_44.ply,70.69705053
biscuits_geo_26_col_50.ply,47.48677611
biscuits_geo_32_col_26.ply,85.15945341
biscuits_geo_32_col_32.ply,83.55741403
biscuits_geo_32_col_38.ply,76.27075719
biscuits_geo_32_col_44.ply,63.75379499
biscuits_geo_32_col_50.ply,47.7863712
biscuits_geo_38_col_26.ply,79.53568169
biscuits_geo_38_col_32.ply,83.43605883
biscuits_geo_38_col_38.ply,77.0382203
biscuits_geo_38_col_44.ply,67.78999898
biscuits_geo_38_col_50.ply,50.85182184
biscuits_geo_44_col_26.ply,73.07764118
biscuits_geo_44_col_32.ply,64.59484699
biscuits_geo_44_col_38.ply,58.470167
biscuits_geo_44_col_44.ply,56.95202811
biscuits_geo_44_col_50.ply,43.2095155
biscuits_geo_50_col_26.ply,53.33530414
biscuits_geo_50_col_32.ply,49.29487196
biscuits_geo_50_col_38.ply,51.49897868
biscuits_geo_50_col_44.ply,42.73195124
biscuits_geo_50_col_50.ply,36.6391662
cake_geo_26_col_26.ply,86.93593505
cake_geo_26_col_32.ply,85.47863801
cake_geo_26_col_38.ply,81.6946559
cake_geo_26_col_44.ply,69.56396174
cake_geo_26_col_50.ply,54.74608311
cake_geo_32_col_26.ply,84.71847991
cake_geo_32_col_32.ply,80.98232285
cake_geo_32_col_38.ply,77.20122353
cake_geo_32_col_44.ply,70.82885252
cake_geo_32_col_50.ply,48.45050687
cake_geo_38_col_26.ply,81.33226738
cake_geo_38_col_32.ply,77.72779233
cake_geo_38_col_38.ply,73.52551856
cake_geo_38_col_44.ply,64.02248411
cake_geo_38_col_50.ply,52.23505805
cake_geo_44_col_26.ply,62.28396019
cake_geo_44_col_32.ply,59.56320216
cake_geo_44_col_38.ply,58.62467151
cake_geo_44_col_44.ply,47.28069825
cake_geo_44_col_50.ply,46.63116283
cake_geo_50_col_26.ply,29.91315085
cake_geo_50_col_32.ply,39.5743814
cake_geo_50_col_38.ply,26.88251262
cake_geo_50_col_44.ply,27.71117768
cake_geo_50_col_50.ply,27.05130824
